fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab

secondwaveoptions_bookOfGrudgesHeader,Book of Grudges Header,Header,Book of Grudges,,,,,,
secondwaveoptions_bookOfGrudgesEnable,Enable Book of Grudges,Boolean,TRUE,,[Enables the Book of Grudges feature.] Factions (and optionally people) will remember your slight.,,,

secondwaveoptions_competentFoesHeader,Competent Foes Header,Header,Competent Foes,,,,,
secondwaveoptions_autofitTweaksEnable,Enable Autofit Tweaks,Boolean,TRUE,,"[Enables the Autofit Tweaks feature.] Currently only adjusts autofit randomize probability. Possible additions later.",,,
secondwaveoptions_blessedByLuddEnable,Enable Blessed By Ludd,Boolean,TRUE,,"[Enables the Blessed By Ludd feature.] Allows a proportion of Luddic Path fleets to not suffer from ill-advised modifications.",,,
secondwaveoptions_makeSindriaGreatAgainEnable,Enable Make Sindria Great Again,Boolean,TRUE,,"[Enables the Make Sindria Great Again feature.] Allows a proportion of Sindrian Diktat and Lion's Guard fleets to not suffer from special modifications.",,,
secondwaveoptions_pirateScholarsEnable,Enable Pirate Scholars,Boolean,TRUE,,"[Enables the Pirate Scholars feature.] Every month, gives pirates a chance to learn new technologies. Will possibly make more modular in the future.",,,

secondwaveoptions_doctrineScalingHeader,Doctrine Scaling Header,Header,Doctrine Scaling,,,,,
secondwaveoptions_doctrineScalingEnable,Enable Doctrine Scaling,Boolean,TRUE,,[Enables the Doctrine Scaling feature.] Adds a scaling mechanic to enemy factions that reacts to the shifting sector state.,,,

secondwaveoptions_marketCrackdownsHeader,Market Crackdowns Header,Header,Market Crackdowns,,,,,
secondwaveoptions_commodityScalingEnable,Enable Commodity Scaling,Boolean,TRUE,,"[Enables the Commodity Scaling feature.] Adjusts the proportion of commodities found in markets, including supplies, crew and fuel.",,,
secondwaveoptions_noFreeStorageEnable,Enable No Free Storage,Boolean,TRUE,,"[Enables the No Free Storage feature.] Removes the free storage capabilities of the three abandoned stations in the Core Worlds. Possible additions later.",,,
secondwaveoptions_secureMarketsEnable,Enable Secure Markets,Boolean,TRUE,,"[Enables the Secure Markets feature.] Adds patrols, stations, defenses to starting markets. Tries to be sensible about placement. Affects [new games only], and obviously can't be undone.",,,

secondwaveoptions_bookOfGrudges,Book of Grudges,Header,Book of Grudges,,,,,Book of Grudges
